X;tag;Ammonia;Apple;Apricot;Berry;Blue.Cheese;Blueberry;Butter;Cheese;Chemical;Chestnut;Citrus;Coffee;Diesel;Earthy;Flowery;Grape;Grapefruit;Honey;Lavender;Lemon;Lime;Mango;Menthol;Mint;Nutty;Orange;Peach;Pear;Pepper;Pine;Pineapple;Plum;Pungent;Rose;Sage;Skunk;Spicy.Herbal;Strawberry;Sweet;Tar;Tea;Tobacco;Tree;Fruit;Tropical;Vanilla;Violet;Woody;categoria.x;Aroused;Creative;Energetic;Euphoric;Focused;Giggly;Happy;Hungry;Relaxed;Sleepy;Talkative;Tingly;Uplifted;Anxious;Dizzy;Dry.Eyes;Dry.Mouth;Headache;Paranoid;categoria.y;Delta9.THC;CBD;CBN;CBG;CBC;THCV;CBDa;Delta8.THC;CBGa;THCa;Delta9.THCa;D.Limonene;Beta.Ocimene;Beta.Myrcene;Beta.Pinene;Linalool;Alpha.Pinene;Caryophyllene;Camphene;Carene;Eucalyptol;Terpinolene;Geraniol;TransNerolidol;Guaiol;CaryophylleneOxide;Alpha.Bisabolol;Beta.Caryophyllene;p.Cymene;Alpha.Terpinene;Gamma.Terpinene;mistery.Terpinene;Humulene
1;24k-gold;0.029850746;0.014925373;0;0.029850746;0;0.014925373;0;0.044776119;0.029850746;0;0.641791045;0.029850746;0.059701493;0.388059701;0.149253731;0.134328358;0.104477612;0;0;0.074626866;0;0;0.029850746;0.059701493;0;0.358208955;0;0.014925373;0.014925373;0.164179104;0.014925373;0;0.194029851;0;0.044776119;0;0.014925373;0;0.313432836;0;0.029850746;0;0;0;0.059701493;0.014925373;0;0.104477612;Hybrid;0.090909091;0.303030303;0.212121212;0.585858586;0.303030303;0.181818182;0.575757576;0.373737374;0.767676768;0.242424242;0.252525253;0.181818182;0.515151515;0.02020202;0.080808081;0.131313131;0.272727273;0.050505051;0.02020202;Hybrid;21.54285714;0.097142857;0.088571429;1.047142857;0.157142857;0.142857143;NA;NA;NA;NA;NA;0.254285714;NA;0.548571429;0.111428571;0.152857143;0.18;0.221428571;0.007142857;NA;NA;NA;NA;NA;0.028571429;0.001428571;0.024285714;NA;NA;NA;NA;NA;0.072857143
2;501st-og;0;0.026315789;0;0.236842105;0;0;0.052631579;0;0.026315789;0;0.105263158;0;0.184210526;0.657894737;0.052631579;0.263157895;0;0;0.026315789;0.078947368;0.026315789;0;0.026315789;0.026315789;0.052631579;0;0;0.026315789;0.026315789;0.315789474;0;0;0.289473684;0;0;0.236842105;0.026315789;0;0.210526316;0;0.052631579;0;0.026315789;0.026315789;0.078947368;0;0;0.236842105;Hybrid;0.105263158;0.192982456;0.105263158;0.526315789;0.228070175;0.087719298;0.473684211;0.105263158;0.877192982;0.368421053;0.087719298;0.140350877;0.228070175;0;0;0.052631579;0.245614035;0.052631579;0;Hybrid;11.99;0.075;0.07;0.395;0.15;0.09;0.39;0.01;1.22;18.8;NA;0.215;NA;0.34;0.025;0.1;0.015;0.26;NA;NA;NA;NA;NA;NA;NA;NA;0.035;0.27;NA;NA;NA;NA;0.07
3;acdc;0.005050505;0.005050505;0;0.015151515;0;0;0;0.01010101;0.035353535;0.01010101;0.186868687;0.015151515;0.02020202;0.590909091;0.111111111;0;0;0.02020202;0;0.090909091;0.03030303;0.015151515;0.005050505;0.03030303;0.060606061;0.035353535;0.005050505;0.005050505;0.035353535;0.237373737;0.01010101;0;0.146464646;0.015151515;0.04040404;0.090909091;0.146464646;0;0.151515152;0.005050505;0.025252525;0.03030303;0.03030303;0.02020202;0.03030303;0.01010101;0;0.358585859;Hybrid;0.059125964;0.133676093;0.179948586;0.221079692;0.370179949;0.064267352;0.503856041;0.107969152;0.794344473;0.110539846;0.105398458;0.167095116;0.437017995;0.043701799;0.033419023;0.05655527;0.16966581;0.033419023;0.015424165;Hybrid;0.01;0.39;0.01;0.01;0.01;0.01;8.86;0.01;0.01;0.14;NA;0.03;NA;0.31;0.05;NA;0.11;NA;0.02;NA;NA;NA;NA;NA;0.04;0.03;0.03;0.07;NA;NA;NA;NA;0.03
4;afghani;0.007042254;0.007042254;0;0.077464789;0;0.007042254;0.042253521;0.035211268;0.028169014;0.035211268;0.105633803;0.028169014;0.070422535;0.647887324;0.084507042;0.035211268;0.028169014;0.042253521;0.056338028;0.049295775;0.028169014;0.007042254;0.028169014;0.070422535;0.056338028;0.028169014;0.021126761;0;0.091549296;0.288732394;0.007042254;0.014084507;0.352112676;0.028169014;0.063380282;0.190140845;0.197183099;0.007042254;0.352112676;0.056338028;0.035211268;0.056338028;0.014084507;0.014084507;0.028169014;0;0.021126761;0.246478873;Indica;0.100746269;0.220149254;0.108208955;0.458955224;0.220149254;0.179104478;0.5;0.298507463;0.660447761;0.555970149;0.149253731;0.149253731;0.253731343;0.01119403;0.130597015;0.21641791;0.406716418;0.063432836;0.048507463;Indica;16.1;0.17;0.22;0.63;0.18;0.12;NA;NA;NA;NA;NA;0.13;0.16;0.33;0.12;0.09;0.31;0.12;0.01;NA;NA;NA;NA;0.02;0.04;NA;0.02;NA;NA;NA;NA;NA;0.05
5;afternoon-delight;0;0.142857143;0.142857143;0.142857143;0;0;0;0;0;0;0.285714286;0;0;0.142857143;0.142857143;0.142857143;0.142857143;0;0;0;0;0.142857143;0;0.142857143;0;0.142857143;0;0;0.142857143;0.285714286;0;0;0.285714286;0;0.142857143;0;0.285714286;0;0.142857143;0;0.142857143;0;0;0;0.142857143;0.142857143;0;0.142857143;Hybrid;0.111111111;0.333333333;0.111111111;0.777777778;0.111111111;0.333333333;0.444444444;0.555555556;0.555555556;0.222222222;0.111111111;0.444444444;0.555555556;0.111111111;0.111111111;0;0.111111111;0.222222222;0.222222222;Hybrid;15.8;0.14;0.095;0.76;0.16;0.11;NA;NA;NA;NA;NA;0.095;NA;0.29;0.09;0.035;0.055;0.03;NA;NA;NA;0.615;NA;NA;0.005;NA;0.02;NA;NA;0.01;NA;NA;NA
6;agent-orange;0.002460025;0.004920049;0.003690037;0.009840098;0;0.007380074;0;0.004920049;0.018450185;0;0.345633456;0;0.006150062;0.062730627;0.041820418;0.014760148;0.011070111;0.004920049;0.007380074;0.051660517;0.017220172;0.009840098;0.002460025;0.008610086;0.001230012;0.904059041;0.006150062;0.002460025;0.002460025;0.036900369;0.001230012;0;0.057810578;0.004920049;0.002460025;0.030750308;0.014760148;0.003690037;0.158671587;0;0.004920049;0.002460025;0.020910209;0.019680197;0.04797048;0.011070111;0;0.01599016;Hybrid;0.117540687;0.361663653;0.428571429;0.415913201;0.318264014;0.204339964;0.652802893;0.26039783;0.466546112;0.110307414;0.274864376;0.171790235;0.566003617;0.039783002;0.063291139;0.117540687;0.258589512;0.057866184;0.057866184;Hybrid;10.57692308;0.067692308;0.060769231;0.394615385;0.130769231;0.060769231;0.112;0.01;0.826;20.908;NA;0.091538462;0.023846154;0.582307692;0.027692308;0.086923077;0.026923077;0.215;0.002307692;NA;0.000769231;0.053846154;NA;0.02125;0.027692308;NA;0.036153846;0.136;NA;0.003076923;NA;0.015;0.046
7;alien-kush;0.064516129;0;0;0.064516129;0;0;0;0;0.096774194;0;0.032258065;0;0;0.35483871;0.35483871;0;0;0;0;0.064516129;0;0;0;0.129032258;0.032258065;0;0;0;0.064516129;0.290322581;0;0;0.193548387;0;0;0.161290323;0.161290323;0;0.096774194;0.064516129;0.096774194;0;0.096774194;0.096774194;0;0;0;0.322580645;Indica;0.2;0.272727273;0.145454545;0.563636364;0.2;0.163636364;0.490909091;0.218181818;0.781818182;0.272727273;0.090909091;0.4;0.436363636;0.109090909;0.127272727;0.2;0.363636364;0.072727273;0.2;Indica;0.76;0.01;0.01;0.16;0.06;0.01;0.35;0.01;1.17;27.65;NA;0.22;0.09;1.14;0.07;0.16;0.04;NA;0.02;NA;NA;NA;NA;NA;NA;NA;0.05;0.49;NA;NA;NA;NA;0.22
8;allen-wrench;0.020408163;0.081632653;0.06122449;0.081632653;0;0.040816327;0.020408163;0.040816327;0.020408163;0.020408163;0.591836735;0;0.142857143;0.469387755;0.12244898;0.102040816;0.102040816;0;0.040816327;0.204081633;0.102040816;0.040816327;0;0;0.020408163;0.204081633;0.040816327;0.040816327;0.06122449;0.265306122;0.102040816;0.040816327;0.306122449;0;0.020408163;0.102040816;0.081632653;0.040816327;0.326530612;0;0.020408163;0;0.040816327;0.040816327;0.102040816;0.020408163;0;0.142857143;Sativa;0.242718447;0.601941748;0.640776699;0.495145631;0.601941748;0.27184466;0.67961165;0.252427184;0.330097087;0.097087379;0.330097087;0.203883495;0.533980583;0.048543689;0.048543689;0.097087379;0.330097087;0.029126214;0.097087379;Sativa;16.2;0.14;0.11;0.35;0.28;0.06;NA;NA;NA;NA;NA;0.06;NA;0.4;0.13;0.04;0.34;0.16;NA;NA;NA;NA;NA;NA;NA;NA;0.02;NA;NA;NA;NA;NA;0.03
9;amnesia;0.201149425;0;0;0.017241379;0.017241379;0.005747126;0.005747126;0.028735632;0.08045977;0.011494253;0.166666667;0.028735632;0.051724138;0.534482759;0.097701149;0.005747126;0;0.028735632;0.057471264;0.114942529;0.051724138;0.005747126;0.028735632;0.034482759;0.074712644;0.022988506;0;0;0.022988506;0.132183908;0.005747126;0;0.235632184;0;0.022988506;0.16091954;0.074712644;0.005747126;0.212643678;0.017241379;0.022988506;0.028735632;0.022988506;0.017241379;0.040229885;0;0;0.143678161;Sativa;0.118589744;0.298076923;0.432692308;0.509615385;0.179487179;0.423076923;0.644230769;0.320512821;0.429487179;0.169871795;0.304487179;0.217948718;0.426282051;0.099358974;0.112179487;0.21474359;0.387820513;0.08974359;0.073717949;Sativa;0.65;0.01;0.01;0.04;0.03;0.01;0.01;0.01;1.15;20.42;NA;0.15;NA;0.38;0.03;0.08;0.02;NA;0.02;NA;NA;NA;NA;NA;0.09;NA;0.07;0.54;NA;NA;NA;NA;0.17
10;amnesia-haze;0.026239067;0.002915452;0.002915452;0.043731778;0.002915452;0.002915452;0.008746356;0.020408163;0.029154519;0.002915452;0.49271137;0.023323615;0.032069971;0.39941691;0.119533528;0.032069971;0.026239067;0.017492711;0.04664723;0.361516035;0.069970845;0;0.002915452;0.04664723;0.032069971;0.043731778;0;0.011661808;0.052478134;0.16909621;0.008746356;0;0.160349854;0.002915452;0.04664723;0.067055394;0.119533528;0;0.314868805;0.017492711;0.029154519;0.023323615;0.055393586;0.04664723;0.058309038;0.008746356;0.002915452;0.116618076;Sativa;0.122681883;0.446504993;0.417974322;0.560627675;0.292439372;0.320970043;0.646219686;0.306704708;0.407988588;0.159771755;0.310984308;0.148359486;0.554921541;0.051355207;0.12125535;0.199714693;0.419400856;0.051355207;0.132667618;Sativa;0.53;0.01;0.01;0.035;0.065;0.01;0.155;0.01;0.87;19.09;NA;0.495;0.055;0.22;0.11;0.115;0.13;NA;0.035;NA;0.015;0.025;NA;NA;0.025;NA;0.055;0.16;NA;NA;NA;NA;0.04
